# LANCTL error catalog - generated; do not edit manually
# FORMAT: ERROR_ID | LEVEL | SOURCE_FILE | LINE | ORIGIN | KIND
# Static IDs derive from semantic points; literal runtime events use origin + code
0e002011E3 | 33 | src/lanctl/apps/monitor/configuration.py | 143 | src.lanctl.apps.monitor.configuration.validate_profile | raise
0e0033A6C0 | 34 | src/lanctl/apps/ip/interfaces/cli/commands/modes.py | 143 | src.lanctl.apps.ip.interfaces.cli.commands.modes._run_global_command | print-error
0e003C20F8 | 45 | src/lanctl/core/plugins/api.py | 75 | src.lanctl.core.plugins.api._PluginErrors._origin | raise
0e0043158C | 31 | src/lanctl/apps/ip/interfaces/cli/commands/group.py | 68 | src.lanctl.apps.ip.interfaces.cli.commands.group.run_group | raise
0e00CBB0C3 | 31 | src/lanctl/apps/ip/interfaces/cli/commands/wol.py | 475 | src.lanctl.apps.ip.interfaces.cli.commands.wol._sequence_locked | raise
0e00E4F2A3 | 47 | src/lanctl/core/plugins/manager.py | 504 | src.lanctl.core.plugins.manager.PluginManager._load_declared_hooks | raise
0e010FBB2A | 48 | src/lanctl/core/plugins/package.py | 96 | src.lanctl.core.plugins.package.build_package | raise
0e011E55C8 | 33 | src/lanctl/apps/ip/interfaces/gui/theme.py | 47 | src.lanctl.apps.ip.interfaces.gui.theme.validate_theme_specification | raise
0e013A4C53 | 31 | src/lanctl/apps/ip/interfaces/cli/commands/language.py | 61 | src.lanctl.apps.ip.interfaces.cli.commands.language._use | raise
0e0165809C | 42 | src/lanctl/apps/access/firewall.py | 82 | src.lanctl.apps.access.firewall.FirewallManager._command | raise
0e01B0343E | 33 | src/lanctl/shared/assets/icons.py | 212 | src.lanctl.shared.assets.icons.IconManager._read_registry | raise
0e01D0583E | 46 | src/lanctl/apps/access/ssh_server.py | 52 | src.lanctl.apps.access.ssh_server.RestrictedSshServer.check_auth_password | return-error
0e01D38B7E | 47 | src/lanctl/core/plugins/smb_runtime.py | 256 | src.lanctl.core.plugins.smb_runtime.SMBNative.connect_printer | raise
0e02BD3EEF | 48 | src/lanctl/core/plugins/package.py | 158 | src.lanctl.core.plugins.package._verify_signature | raise
0e02C68DF4 | 33 | src/lanctl/shared/assets/icons.py | 106 | src.lanctl.shared.assets.icons.IconManager.register | raise
0e0311803C | 45 | src/lanctl/apps/ip/interfaces/cli/commands/access.py | 190 | src.lanctl.apps.ip.interfaces.cli.commands.access.run_access | raise
0e033F7FB5 | 41 | src/lanctl/apps/access/firewall.py | 39 | src.lanctl.apps.access.firewall.FirewallManager.remove | raise
0e0365E945 | 33 | src/lanctl/core/group_database.py | 110 | src.lanctl.core.group_database.GroupDatabase.load | raise
0e0394B49D | 47 | src/lanctl/core/plugins/smb_runtime.py | 294 | src.lanctl.core.plugins.smb_runtime.SMBNative._linux_shares | raise
0e0395C906 | 33 | src/lanctl/core/errors.py | 135 | src.lanctl.core.errors.ErrorEvent.__post_init__ | raise
0e03F1C29C | 49 | src/lanctl/core/group_database.py | 157 | src.lanctl.core.group_database.GroupDatabase._commit_pair | raise
0e043AE0DF | 36 | src/lanctl/apps/access/manager_cli.py | 82 | src.lanctl.apps.access.manager_cli.AccessManager.set | raise
0e044C6739 | 42 | src/lanctl/core/recurrent_elements.py | 40 | src.lanctl.core.recurrent_elements.RecurrentElementDatabase.load | raise
0e04D13546 | 18 | src/lanctl/core/plugins/manager.py | 667 | LANCTL.Plugin.Registry.Load | diagnostic
0e04D32741 | 33 | src/lanctl/apps/ip/interfaces/cli/commands/settings.py | 355 | src.lanctl.apps.ip.interfaces.cli.commands.settings.run_settings | raise
0e04D75523 | 42 | src/lanctl/core/persistence.py | 89 | src.lanctl.core.persistence.export_storage | raise
0e05244BCD | 44 | src/lanctl/apps/access/auth.py | 179 | src.lanctl.apps.access.auth.AuthenticationService.authenticate_ssh_key | raise
